time,close,US02Y · TVC: close
2025-11-25,4,3.457
2025-11-25,4,3.457
2025-11-26,3.992,3.477
2025-11-26,3.992,3.477
2025-11-28,4.017,3.497
2025-11-28,4.017,3.497
2025-12-01,4.09,3.532
2025-12-01,4.09,3.532
2025-12-02,4.09,3.512
2025-12-02,4.09,3.512
2025-12-03,4.063,3.486
2025-12-03,4.063,3.486
2025-12-04,4.1,3.525
2025-12-04,4.1,3.525
2025-12-05,4.139,3.564
2025-12-05,4.139,3.564
2025-12-08,4.17,3.579
2025-12-08,4.17,3.579
2025-12-09,4.19,3.615
2025-12-09,4.19,3.615
2025-12-10,4.155,3.542
2025-12-10,4.155,3.542
2025-12-11,4.153,3.538
2025-12-11,4.153,3.538
2025-12-12,4.186,3.524
2025-12-12,4.186,3.524
2025-12-15,4.178,3.508
2025-12-15,4.178,3.508
2025-12-16,4.147,3.489
2025-12-16,4.147,3.489
2025-12-17,4.153,3.485
2025-12-17,4.153,3.485
2025-12-18,4.124,3.464
2025-12-18,4.124,3.464
2025-12-19,4.149,3.485
2025-12-19,4.149,3.485
2025-12-22,4.165,3.507
2025-12-22,4.165,3.507
2025-12-23,4.167,3.534
2025-12-23,4.167,3.534
2025-12-24,4.135,3.51
2025-12-24,4.135,3.51
2025-12-26,4.132,3.481
2025-12-26,4.132,3.481
2025-12-29,4.112,3.457
2025-12-29,4.112,3.457
2025-12-30,4.126,3.452
2025-12-30,4.126,3.452
2025-12-31,4.163,3.475
2025-12-31,4.163,3.475
2026-01-02,4.195,3.475
2026-01-02,4.195,3.475
2026-01-05,4.155,3.453
2026-01-05,4.155,3.453
2026-01-06,4.169,3.465
2026-01-06,4.169,3.465
2026-01-07,4.15,3.472
2026-01-07,4.15,3.472
2026-01-08,4.167,3.486
2026-01-08,4.167,3.486
2026-01-09,4.169,3.538
2026-01-09,4.169,3.538
2026-01-12,4.185,3.539
2026-01-12,4.185,3.539
2026-01-13,4.175,3.53
2026-01-13,4.175,3.53
2026-01-14,4.138,3.514
2026-01-14,4.138,3.514
2026-01-15,4.171,3.568
2026-01-15,4.171,3.568
2026-01-16,4.227,3.594
2026-01-16,4.227,3.594
2026-01-20,4.295,3.599
2026-01-20,4.295,3.599
2026-01-21,4.247,3.591
2026-01-21,4.247,3.591
2026-01-22,4.251,3.612
2026-01-22,4.251,3.612
2026-01-23,4.231,3.598
2026-01-23,4.231,3.598
2026-01-26,4.213,3.592
2026-01-26,4.213,3.592
2026-01-27,4.245,3.575
2026-01-27,4.245,3.575
2026-01-28,4.247,3.571
2026-01-28,4.247,3.571
2026-01-29,4.233,3.559
2026-01-29,4.233,3.559
2026-01-30,4.239,3.524
2026-01-30,4.239,3.524
2026-02-02,4.281,3.574
2026-02-02,4.281,3.574
2026-02-03,4.267,3.572
2026-02-03,4.267,3.572
2026-02-04,4.278,3.555
2026-02-04,4.278,3.555
2026-02-05,4.188,3.461
2026-02-05,4.188,3.461
2026-02-06,4.208,3.495
2026-02-06,4.208,3.495
2026-02-09,4.2,3.487
2026-02-09,4.2,3.487
2026-02-10,4.141,3.452
2026-02-10,4.141,3.452
2026-02-11,4.174,3.512
2026-02-11,4.174,3.512
2026-02-12,4.1,3.458
2026-02-12,4.1,3.458
2026-02-13,4.05,3.41
2026-02-13,4.05,3.41
2026-02-17,4.062,3.439
2026-02-17,4.062,3.439
2026-02-18,4.083,3.466
2026-02-18,4.083,3.466
2026-02-19,4.071,3.464
2026-02-19,4.071,3.464
2026-02-20,4.086,3.482
2026-02-20,4.086,3.482
2026-02-23,4.031,3.44
2026-02-23,4.031,3.44
2026-02-24,4.037,3.465
2026-02-24,4.037,3.465
2026-02-25,4.058,3.477
2026-02-25,4.058,3.477
2026-02-26,4.01,3.434
2026-02-26,4.01,3.434
2026-02-27,3.949,3.383
2026-02-27,3.949,3.383
2026-03-02,4.036,3.477
2026-03-02,4.036,3.477
2026-03-03,4.065,3.514
2026-03-03,4.065,3.514
2026-03-04,4.1,3.549
2026-03-04,4.1,3.549
2026-03-05,4.14,3.583
2026-03-05,4.14,3.583
2026-03-06,4.138,3.556
2026-03-06,4.138,3.556
2026-03-09,4.102,3.55
2026-03-09,4.102,3.55
2026-03-10,4.156,3.592
2026-03-10,4.156,3.592
2026-03-11,4.228,3.653
2026-03-11,4.228,3.653
2026-03-12,4.261,3.739
2026-03-12,4.261,3.739
2026-03-13,4.283,3.729
2026-03-13,4.283,3.729
2026-03-16,4.22,3.673
2026-03-16,4.22,3.673
2026-03-17,4.2,3.678
2026-03-17,4.2,3.678
2026-03-18,4.265,3.779
2026-03-18,4.265,3.779
2026-03-19,4.249,3.795
2026-03-19,4.249,3.795
2026-03-20,4.384,3.907
2026-03-20,4.384,3.907
2026-03-23,4.35,3.856
2026-03-23,4.35,3.856
2026-03-24,4.368,3.904
2026-03-24,4.368,3.904
2026-03-25,4.332,3.887
2026-03-25,4.332,3.887
2026-03-26,4.412,3.982
2026-03-26,4.412,3.982
2026-03-27,4.428,3.914
2026-03-27,4.428,3.914
2026-03-30,4.35,3.836
2026-03-30,4.35,3.836
2026-03-31,4.319,3.791
2026-03-31,4.319,3.791
2026-04-01,4.321,3.805
2026-04-01,4.321,3.805
2026-04-02,4.309,3.805
2026-04-02,4.309,3.805
2026-04-06,4.339,3.85
2026-04-06,4.339,3.85
2026-04-07,4.301,3.8
2026-04-07,4.301,3.8
2026-04-08,4.295,3.792
2026-04-08,4.295,3.792
2026-04-09,4.283,3.779
2026-04-09,4.283,3.779
2026-04-10,4.317,3.799
2026-04-10,4.317,3.799
2026-04-13,4.293,3.776
2026-04-13,4.293,3.776
2026-04-14,4.248,3.745
2026-04-14,4.248,3.745
